,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
160,700,7.1,9,9,3,0,1646,2,77,0.046,43.0,5,8.0,35.7695,-117.599,415,3,53,2019,7,6,3,19
161,803,7.3,4,6,0,1,952,9,0,2.629,16.0,8,212.0,-6.4078,129.169,412,6,20,2019,6,24,2,53
162,786,7.3,8,6,0,1,830,9,0,1.402,11.0,8,46.0,-30.6441,-178.1,213,6,54,2019,6,15,22,55
163,238,6.6,7,6,3,1,886,9,0,1.193,22.0,8,57.92,13.1994,-89.3056,215,6,54,2019,5,30,9,3
164,959,8.0,9,8,1,1,1890,9,0,3.18,17.0,8,122.57,-5.8119,-75.2697,291,5,37,2019,5,26,7,41
165,881,7.6,7,7,0,1,929,9,0,0.453,16.0,8,10.0,-4.051,152.597,288,6,35,2019,5,14,12,58
166,715,7.1,7,6,3,1,826,9,0,2.514,16.0,8,146.0,-6.9746,146.449,73,6,35,2019,5,6,21,19
167,522,6.8,5,6,0,1,717,9,0,0.791,28.0,8,15.46,-1.8146,122.58,241,6,20,2019,4,12,11,40
168,130,6.5,0,5,0,1,650,9,0,7.568,18.0,8,38.0,-58.6262,-25.304,70,6,54,2019,4,9,17,53
169,639,7.0,7,4,0,1,869,9,0,2.501,42.0,8,267.0,-14.7131,-70.1546,34,5,37,2019,3,1,8,50
170,842,7.5,7,7,3,1,1145,9,0,2.045,15.0,8,145.0,-2.1862,-77.0505,330,5,12,2019,2,22,10,17
171,389,6.7,6,6,3,1,909,9,0,0.289,43.0,8,66.0,14.6802,-92.4527,362,6,26,2019,2,1,16,14
172,425,6.7,0,3,0,0,691,9,0,7.527,17.0,8,13.0,-43.1219,42.3568,357,6,54,2019,1,22,19,1
173,314,6.7,8,8,1,1,1600,9,0,0.173,22.0,8,63.0,-30.0404,-71.3815,100,5,9,2019,1,20,1,32
